grid_points, number_of_observations, analysis_value
[0, 0],47.0,5281.917644733532
[0, 1],47.0,5301.67936328136
[0, 2],49.0,5332.935675112335
[0, 3],51.0,5351.563479139878
[0, 4],54.0,5352.079679932798
[0, 5],55.0,5375.737421292895
[0, 6],58.0,5385.384659880772
[0, 7],58.0,5399.278819805408
[0, 8],59.0,5414.87024161177
[0, 9],57.0,5443.583244007408
[0, 10],59.0,5460.286022903572
[0, 11],57.0,5498.051723922283
[0, 12],55.0,5518.223429836355
[0, 13],51.0,5566.490913541842
[0, 14],52.0,5577.355577064693
[0, 15],50.0,5651.357558866934
[0, 16],50.0,5689.178728665662
[0, 17],47.0,5725.040624266112
[0, 18],45.0,5774.885636358173
[0, 19],42.0,5835.314607875247
[0, 20],39.0,5896.817223013379
[0, 21],36.0,5964.436165102175
[1, 0],48.0,5282.271436441013
[1, 1],49.0,5306.296326994307
[1, 2],53.0,5332.872130137668
[1, 3],54.0,5352.610617230991
[1, 4],57.0,5356.05609286166
[1, 5],58.0,5373.907066807833
[1, 6],62.0,5383.401854143391
[1, 7],61.0,5399.318900769433
[1, 8],61.0,5406.811660560137
[1, 9],61.0,5433.514646876232
[1, 10],60.0,5451.694289034687
[1, 11],60.0,5481.115946359198
[1, 12],60.0,5495.4707231257125
[1, 13],57.0,5522.727133413478
[1, 14],54.0,5569.360151147732
[1, 15],53.0,5598.257986650235
[1, 16],53.0,5629.491191626483
[1, 17],49.0,5663.886716003588
[1, 18],47.0,5717.029310558835
[1, 19],47.0,5759.629754781112
[1, 20],46.0,5811.531905497715
[1, 21],40.0,5878.608560068475
[2, 0],50.0,5275.517384353025
[2, 1],55.0,5304.579408013151
[2, 2],57.0,5322.53905034645
[2, 3],57.0,5348.129832723771
[2, 4],61.0,5355.049501868127
[2, 5],66.0,5364.513882368252
[2, 6],66.0,5381.642270555381
[2, 7],67.0,5397.256755674256
[2, 8],66.0,5398.595077919581
[2, 9],64.0,5424.921170462025
[2, 10],63.0,5445.383688925263
[2, 11],65.0,5456.20275565239
[2, 12],62.0,5480.562312420228
[2, 13],61.0,5492.268697265099
[2, 14],62.0,5529.934154195726
[2, 15],60.0,5551.685150886107
[2, 16],58.0,5579.3306809682545
[2, 17],58.0,5610.586219592107
[2, 18],54.0,5648.243669864052
[2, 19],51.0,5697.792363471861
[2, 20],50.0,5745.374284335121
[2, 21],47.0,5804.894119737844
[3, 0],57.0,5284.358068990976
[3, 1],59.0,5301.632525850282
[3, 2],60.0,5322.904596274747
[3, 3],64.0,5344.391168206699
[3, 4],66.0,5353.3661007191495
[3, 5],66.0,5359.739033554957
[3, 6],71.0,5374.741579567317
[3, 7],72.0,5393.855639241427
[3, 8],67.0,5414.185200449574
[3, 9],65.0,5421.586112788289
[3, 10],68.0,5426.097388937274
[3, 11],70.0,5443.001911630812
[3, 12],68.0,5462.646587140196
[3, 13],67.0,5479.2763163317395
[3, 14],67.0,5499.425353601495
[3, 15],67.0,5516.9784425526595
[3, 16],65.0,5538.25183337136
[3, 17],61.0,5570.292198626012
[3, 18],59.0,5598.8673840556
[3, 19],56.0,5637.53002310796
[3, 20],54.0,5684.0068758385605
[3, 21],53.0,5731.57882739036
[4, 0],58.0,5291.10560288926
[4, 1],59.0,5303.678284524569
[4, 2],66.0,5318.7134895136405
[4, 3],66.0,5341.555969464285
[4, 4],70.0,5347.4466969302175
[4, 5],76.0,5361.288630277344
[4, 6],75.0,5379.00402563892
[4, 7],73.0,5388.670028000988
[4, 8],73.0,5403.172310151953
[4, 9],75.0,5414.950886110952
